filename,page_number,extract_method,sector,row_text,n_numbers,amount_1,amount_2,amount_3,amount_4,amount_5,amount_6,amount_7,amount_8,amount_9,amount_10
TN Budget 2023-24 OOMF.pdf,1,camelot,other,(cid:272)मांक सं(cid:201)या (cid:874)वभाग पृ(cid:437) सं(cid:201)या,5,272.0,201.0,874.0,437.0,201.0,,,,,
TN Budget 2023-24 OOMF.pdf,1,camelot,other,1. मांग सं(cid:201)या 30 - आ(cid:876)थ(cid:91)क काय(cid:91) (cid:874)वभाग,7,1.0,201.0,30.0,876.0,91.0,91.0,874.0,,,
TN Budget 2023-24 OOMF.pdf,1,camelot,other,(i) आईआईपीडीएफ (cid:232)क(cid:551)म (सीएस) 1,3,232.0,551.0,1.0,,,,,,,
TN Budget 2023-24 OOMF.pdf,1,camelot,other,2. मांग सं(cid:201)या 32 - (cid:874)व(cid:419)ीय सेवाएं (cid:874)वभाग,6,2.0,201.0,32.0,874.0,419.0,874.0,,,,
TN Budget 2023-24 OOMF.pdf,1,camelot,other,(i) को(cid:466)बड (cid:292)भा(cid:874)वत (cid:162)े(cid:287)(cid:585) के (cid:871)लए ऋण गारंट(cid:547) योजना (एलजीएससीएएस) 2,9,466.0,292.0,874.0,162.0,287.0,585.0,871.0,547.0,2.0,
TN Budget 2023-24 OOMF.pdf,1,camelot,other,(ii) सू(cid:234)म (cid:874)व(cid:419) सं(cid:232)थाओं के (cid:871)लए ऋण गारंट(cid:547) योजना (सीजीएसएमएफआई) 2,7,234.0,874.0,419.0,232.0,871.0,547.0,2.0,,,
TN Budget 2023-24 OOMF.pdf,1,camelot,other,(iii) (cid:292)घानमं(cid:287)ी जीवन (cid:207)यो(cid:467)त बीमा योजना (पीएमजेजेबीवाई) और (cid:292)घानमं(cid:287)ी सूर(cid:162)ा बीमा योजना 2,8,292.0,287.0,207.0,467.0,292.0,287.0,162.0,2.0,,
TN Budget 2023-24 OOMF.pdf,1,camelot,other,(पीएमएसबीवाई) ((cid:292)चार-(cid:292)सार तथा जाग(cid:510)कता),3,292.0,292.0,510.0,,,,,,,
TN Budget 2023-24 OOMF.pdf,1,camelot,other,(iv) (cid:292)घानमं(cid:287)ी वय वदंना योजना (पीएमवीवीवाई) (सीएस) 3,3,292.0,287.0,3.0,,,,,,,
TN Budget 2023-24 OOMF.pdf,1,camelot,other,(v) व(cid:464)र(cid:437) प(cid:581)शन बीमा योजना (वीपीबीवाई) : व(cid:464)र(cid:437) नाग(cid:464)रक(cid:585) (सीएस) के (cid:871)लए प(cid:581)शन योजना हेतु 3,10,464.0,437.0,581.0,464.0,437.0,464.0,585.0,871.0,581.0,3.0
TN Budget 2023-24 OOMF.pdf,1,camelot,other,एलआईसी को (cid:222)याज सहायता,1,222.0,,,,,,,,,
