filename,page_number,extract_method,sector,row_text,n_numbers,amount_1,amount_2,amount_3,amount_4,amount_5,amount_6,amount_7,amount_8,amount_9,amount_10
TN Budget 2022-23 OOMF.pdf,1,tesseract,other,(ota aa vd og oraiferad F 500 ats S GA aT Tell Sor Fe),1,500.0,,,,,,,,,
TN Budget 2022-23 OOMF.pdf,1,tesseract,other,(For Central Sector and Centrally Sponsored Schemes costing less than $500 crore),1,500.0,,,,,,,,,
TN Budget 2022-23 OOMF.pdf,1,tesseract,other,2022-2023,2,2022.0,-2023.0,,,,,,,,
TN Budget 2022-23 OOMF.pdf,2,camelot,other,(cid:874)वषय सूची,1,874.0,,,,,,,,,
TN Budget 2022-23 OOMF.pdf,2,camelot,other,(cid:272)मांक सं(cid:201)या (cid:874)वभाग पृ(cid:231)ठ सं(cid:201)या,5,272.0,201.0,874.0,231.0,201.0,,,,,
TN Budget 2022-23 OOMF.pdf,2,camelot,other,1. मांग सं(cid:201)या 32 – (cid:874)व(cid:419)ीय सेवाएं (cid:874)वभाग,6,1.0,201.0,32.0,874.0,419.0,874.0,,,,
TN Budget 2022-23 OOMF.pdf,2,camelot,other,(i) भारत-ि(cid:232)वस सहयोग के तहत दाव(cid:585) के (cid:467)नपटान के (cid:871)लए नाबाड(cid:91) को अनुदान-VI 1,6,232.0,585.0,467.0,871.0,91.0,1.0,,,,
TN Budget 2022-23 OOMF.pdf,2,camelot,other,(ii) (cid:292)धानमं(cid:287)ी वय व(cid:219)दना योजना (पीएमवीवीवाई)2 (सीएस) 1,5,292.0,287.0,219.0,2.0,1.0,,,,,
TN Budget 2022-23 OOMF.pdf,2,camelot,other,3,1,3.0,,,,,,,,,
TN Budget 2022-23 OOMF.pdf,2,camelot,other,(iii) व(cid:464)र(cid:231)ठ प(cid:581)शन बीमा योजना (वीपीबीवाई ): व(cid:464)र(cid:231)ठ नाग(cid:464)रक(cid:585) क(cid:551) प(cid:581)शन योजना के (cid:871)लए एलआईसी को 2,11,464.0,231.0,581.0,464.0,231.0,464.0,585.0,551.0,581.0,871.0
TN Budget 2022-23 OOMF.pdf,2,camelot,other,(cid:222)याज सहायता (सीएस),1,222.0,,,,,,,,,
TN Budget 2022-23 OOMF.pdf,2,camelot,other,(iv) (cid:232)टै(cid:214)ड-अप इं(cid:875)डया के (cid:871)लए (cid:272)े (cid:875)डट गारंट(cid:547) योजना – सीजीएसएसआई (एनसीजीट(cid:547)सी के मा(cid:218)यम से) 2,10,232.0,214.0,875.0,871.0,272.0,875.0,547.0,547.0,218.0,2.0
TN Budget 2022-23 OOMF.pdf,2,camelot,other,(v) माइ(cid:272)ो इकाईय(cid:585) के (cid:871)लए (cid:272)े (cid:875)डट गारंट(cid:547) फं ड ((cid:292)धानमं(cid:287)ी मु(cid:289)ा योजना के (cid:871)लए) 2,11,272.0,585.0,871.0,272.0,875.0,547.0,292.0,287.0,289.0,871.0
TN Budget 2022-23 OOMF.pdf,2,camelot,other,(vi) अटल प(cid:581)शन योजना (सीएस) 3,2,581.0,3.0,,,,,,,,
TN Budget 2022-23 OOMF.pdf,2,camelot,other,(vii) भारतीय औ(cid:622)यो(cid:876)गक (cid:874)व(cid:419) (cid:467)नगम (आईएफसीआई) क(cid:551) शेयर पू जी म(cid:581) अ(cid:871)भदान 3,9,622.0,876.0,874.0,419.0,467.0,551.0,581.0,871.0,3.0,
